Trial ID,Title,Condition,Intervention,Study Type,Phase,Summary,Eligibility,Enrollment,Cleaned_Summary
NCT06215027,The Effects of Dance for Breast Cancer Patients Undergoing Surgical Treatment,Breast Cancer,Dance,INTERVENTIONAL,,"The goal of this non randomized clinical trial, with pre- and post-intervention evaluation, longitudinal, with prospective data collection is to evaluate the effects of dance as a therapeutic intervention in breast cancer patients undergoing surgical treatment.","Inclusion Criteria:

* patients diagnosed with breast cancer
* undergone surgical resection
* after medical referral for physiotherapy
* and physiotherapeutic assessment

Exclusion Criteria:

* patients with another previous oncological diagnosis
* previous neuromuscular diseases
* patients who do not agree to take part in the study
* or the impossibility of carrying out the muscle strength assessment and/or other assessments",30.0,goal non randomized clinical trial pre postintervention evaluation longitudinal prospective data collection evaluate effects dance therapeutic intervention breast cancer patients undergoing surgical treatment
NCT01704027,Safety Study of Pelvic and Prostatic SIB-IMRT With Long-term Androgen Deprivation for High Risk Localized Prostate Cancer,Prostate Cancer,"Simultaneous integrated boost intensity-modulated arctherapy, Androgen deprivation",INTERVENTIONAL,PHASE2,The purpose of this study is to evaluate the incidence of urinary and rectal acute side effects of a pelvic and prostatic intensity-modulated arctherapy with simultaneous integrated boost (SIB-IMRT)combined with long-term androgen deprivation for patients with high risk localized prostate cancer,"Inclusion Criteria:

1. Histologically confirmed adenocarcinoma of the prostate
2. High risk localized adenocarcinoma defined by at least one of the following criteria:

   * Clinical stage T2c, T3 or T4
   * Gleason score ≥ 8
   * Prostate-specific antigen (PSA)≥ 20 ng/ml and ≤ 100 ng/ml
3. Patient cN0, pN0 or Nx (negative lymphadenectomy or no lymphadenectomy)
4. No pelvic adenopathy ≥ 15 mm on CT or MRI,
5. Absence of bone and/or visceral metastasis
6. Androgen deprivation beginning no later than the day of radiotherapy and up to six months before irradiation
7. Absence of prior pelvic radiotherapy,
8. Absence of surgical treatment of prostate cancer except transurethral resection performed within 4 months minimum before radiotherapy,
9. Age ≥ 18 years and ≤ 85 years
10. ECOG performance status ≤ 1,
11. Estimated life expectancy \> 5 years
12. Membership of a social security system,
13. Signed informed consent.

Exclusion Criteria:

1. Prostate cancer histology other than adenocarcinoma,
2. pN1 patients (lymph node dissection after histologically proven)
3. PSA \> 100 ng/ml
4. History of cancer within 5 years prior to trial entry (with the exception of basal cell carcinoma skin)
5. Patient with severe hypertension uncontrolled by appropriate treatment (≥ 160 mm Hg systolic and / or ≥ 90 mm Hg diastolic)
6. Contra-indication for pelvic irradiation (eg scleroderma, chronic inflammatory disease of the digestive tract, etc ...)
7. Contra-indication to agonists or antagonists of LH-RH
8. Bilateral hip prosthesis,
9. Patients already included in another clinical trial with an experimental molecule,
10. Persons deprived of liberty or under guardianship
11. Unable to undergo medical test for geographical, social or psychological.",28.0,purpose study evaluate incidence urinary rectal acute side effects pelvic prostatic intensitymodulated arctherapy simultaneous integrated boost sibimrtcombined longterm androgen deprivation patients high risk localized prostate cancer
NCT02471027,The Clinical Research of Neoadjuvant Chemotherapy Combined Surgery for Locally Advanced Cervical Cancer,Cervical Cancer,Neoadjuvant chemotherapy,OBSERVATIONAL,,This study is a registration study.The main research: the curative effect of neoadjuvant chemotherapy in the treatment of ⅠB2 and ⅡA2 locally advanced cervical cancer.Research group: the neoadjuvant chemotherapy in combination with cervical cancer radical hysterectomy.Control group:cervical cancer radical hysterectomy directly.Main observation indexes is overall survival and disease-free survival.,"Inclusion Criteria:

1. Age greater than equal to 18
2. The initial treatment of cervical cancer,the Pathology is squamous cell carcinoma, adenocarcinoma and Adenosquamous carcinoma
3. 2009 FIGO clinical staging IB2, IIA2 stage cervical cancer
4. Patients acceptted the treatment of neoadjuvant chemotherapy combined cervical cancer radical surgery or cervical cancer radical surgery directly
5. Inform consent form

Exclusion Criteria:

1. With severe complications can not tolerate surgery, chemotherapy
2. Patients with distant metastasis
3. With uncontrolled seizures, central nervous system disease or a history of mental disorders, the researchers determine the clinical severity affect clinical research
4. The last five years has a history of other malignant diseases
5. Have received chemotherapy and radiotherapy patients",1000.0,study registration studythe main research curative effect neoadjuvant chemotherapy treatment ⅰb2 ⅱa2 locally advanced cervical cancerresearch group neoadjuvant chemotherapy combination cervical cancer radical hysterectomycontrol groupcervical cancer radical hysterectomy directlymain observation indexes overall survival diseasefree survival
NCT05354427,Retrospective Evaluation of Commercial Spacers in Prostate Cancer Patients,Prostate Cancer,Observation,OBSERVATIONAL,,Assessment of efficacy and safety of implantable spacers when used to reduce the radiation dose delivered to the organs at risk in prostate cancer patients undergoing radiotherapy.,"Inclusion Criteria:

- Males at least 18 years of age, who have undergone radiation therapy with implantable spacers

Exclusion Criteria:

* Patients whose clinical and pathological data are not available.
* Patients have been histologically diagnosed with invasive adenocarcinoma that is extracapsular with posterior extension",175.0,assessment efficacy safety implantable spacers used reduce radiation dose delivered organs risk prostate cancer patients undergoing radiotherapy
NCT06020573,Evaluation of Safety and Performance of Intraoperative Detection of Light Signals During Electrosurgical Breast Cancer Resection,"Breast Cancer, Resection Margin",Clip-on electrode with fiber optics,INTERVENTIONAL,,"This monocentric early feasibility first in human study is intended to evaluate safety and performance of intraoperative detection of light signals during electrosurgical breast cancer resection.

In consequence the data should also be taken to adapt technical features according to the findings. The study results will be utilized to design and to calculate the sample size for future pivotal studies after finalizing this study and to adapt the technical features of the system and/ or device. In the future pivotal study, the effectiveness of method and the reduction in R1 resection rate will be assessed with the final goal to provide continuous or real-time information about the tissue type that is currently cut.

The primary endpoint for this first in human feasibility study is the percentage of patients with no serious adverse event related to the investigational device.

After signing the informed consent the doctor and research team will determine if the participant meets all requirements for this study. During the second visit (V2) they will receive the treatment procedure with the investigational medical device (IMD). The follow up visit (V3) will be performed up to 7 days after the treatment procedure at the day of discharge from the hospital.","Inclusion Criteria:

1. Female patient with primary invasive breast cancer (NST or NST with DCIS component, including endocrine pretreatment according to standard of care therapy at the study site)
2. Solid tumor size ≥ 15 mm at screening, on sonography imaging
3. Breast conserving surgery
4. ≥ 18 years of age
5. Ability to provide written informed consent

Exclusion Criteria:

1. Neoadjuvant chemotherapy
2. Bilateral breast conserving surgery
3. Invasive lobular carcinoma, DCIS, LCIS
4. Suspicion of extensive DCIS component of NST tumor
5. Diagnosis of recurrent breast cancer
6. Previous radiotherapy
7. Patient is pregnant or lactating
8. Patient is wearing active implant (cardiac pacemaker, internal defibrillator, other active implant), passive implants (hip arthroplasties, tooth implants etc.) are allowed at the discretion of the principal investigator
9. According to physicians' assessment, patient is not able to follow study protocol (e.g., due to cognitive disease) or is not able to understand the nature, objectives, benefits, implications, risks and inconveniences of the clinical investigation",24.0,monocentric early feasibility first human study intended evaluate safety performance intraoperative detection light signals electrosurgical breast cancer resection consequence data also taken adapt technical features according findings study results utilized design calculate sample size future pivotal studies finalizing study adapt technical features system device future pivotal study effectiveness method reduction r1 resection rate assessed final goal provide continuous realtime information tissue type currently cut primary endpoint first human feasibility study percentage patients serious adverse event related investigational device signing informed consent doctor research team determine participant meets requirements study second visit v2 receive treatment procedure investigational medical device imd follow visit v3 performed 7 days treatment procedure day discharge hospital
NCT03901573,High-Risk Skin Cancers With Atezolizumab Plus NT-I7,"Melanoma, Merkel Cell Carcinoma, Cutaneous Squamous Cell Carcinoma","NT-I7, atezolizumab",INTERVENTIONAL,"PHASE1, PHASE2","The purpose of this study is to test whether the addition of NT-I7 to atezolizumab provides clinically meaningful outcomes for patients with anti-PD-1/PD-L1 naive or relapsed/refractory high-risk melanoma, Merkel Cell Carcinoma (MCC) and cutaneous Squamous Cell Carcinoma (cSCC)","Key Inclusion Criteria:

1. Patients must be ≥18 years of age on day of signing informed consent document.
2. Eastern Cooperative Oncology Group (ECOG) performance status ≤2 (Karnofsky ≥60%).
3. Patients must have adequate organ and marrow function.
4. Patients positive for HIV can be considered.
5. Arm I - cSCC: Patients must have biopsy-proven metastatic cSCC or locoregional cSCC that has recurred following standard locoregional therapy with surgery and/or radiation therapy; MCC: Patients must have biopsy-proven metastatic MCC or locoregional MCC in need of systemic therapy, including patients that have not had prior systemic therapy or have recurred following standard locoregional therapy with surgery and/or radiation therapy. Prior chemotherapy is allowed.
6. Arm II - MCC: Patients must have biopsy-proven metastatic MCC or locoregional MCC that has recurred following anti-PD-1 or anti-PD-L1, or has SD following anti-PD-1 or anti-PD-L1, defined as 12 weeks of SD per RECIST 1.1; cSCC: Patients must have biopsy-proven metastatic cSCC or locoregional cSCC that has recurred following anti-PD-1 or anti-PD-L1, or has SD following anti-PD-1 or anti-PD-L1, defined as 12 weeks of SD per RECIST 1.1; Melanoma: Patients must have biopsy-proven metastatic melanoma or locoregional melanoma that has recurred following anti-PD-1, anti-PD-L1, or has SD following anti-PD-1 or anti-PD-L1, defined as 12 weeks of SD per RECIST 1.1.

Note: Prior therapy with ipilimumab is allowed (subject to a 6-week washout period) but not required.

Note: Progression following targeted therapies (e.g., BRAF inhibitor and/or MEK inhibitor) or other approved (e.g., talimogene laherparepvec \[T-VEC\]) or investigational therapies is allowed.

Key Exclusion Criteria:

1. Pregnancy, lactation, or breastfeeding.
2. Significant cardiovascular disease.
3. Poorly controlled Type 2 diabetes mellitus.
4. Major surgical procedure, other than for diagnosis, within 28 days prior to Cycle 1, Day 1, or anticipation of need for a major surgical procedure during the study.
5. Patients who have had chemotherapy or radiotherapy within 2 weeks (4 weeks for nitrosoureas or systemic mitomycin C) prior to Cycle 1, Day 1.
6. Patients who had prior treatment with immune CPIs, immunomodulatory monoclonal antibodies (mAbs), and/or mAb-derived therapies within 6 weeks before the initiation of study treatment, except for prior anti-PD-L1/anti-PD-1, which requires a 3-week washout period.
7. Patients who have received treatment with any other investigational agent within 4 weeks prior to Cycle 1, Day 1.
8. Patients who have received treatment and failed therapy with checkpoint inhibition plus a T-cell growth factor, e.g., IL-2 (NTKR-204), IL-15 (ALT-803) or IL-7 (CYT107).
9. Patients with known primary central nervous system (CNS) malignancy, untreated CNS metastases, or active CNS metastases (progressing or requiring corticosteroids for symptomatic control) are excluded, with some exceptions.
10. Patients who have leptomeningeal disease.
11. Patients with autoimmune disease history.
12. Patients who have received treatment with systemic immunosuppressive medications within 2 weeks prior to Cycle 1, Day 1.
13. Patients who have a history of idiopathic pulmonary fibrosis, pneumonitis (including drug induced), organizing pneumonia (i.e., bronchiolitis obliterans, cryptogenic organizing pneumonia, etc.), or evidence of active pneumonitis on screening chest CT scan. History of radiation pneumonitis in the radiation field (fibrosis) is permitted.
14. Patients with active hepatitis B (defined as having a positive hepatitis B surface antigen \[HBsAg\] test at screening).
15. Patients with active tuberculosis (TB).
16. Patients who have severe infections within 4 weeks prior to Cycle 1, Day 1.
17. Patients who have signs or symptoms of recent infection (not meeting the above criteria for severe infections) within 2 weeks before initiation of study treatment.
18. Patients with prior allogeneic bone marrow transplantation or prior solid organ transplantation.
19. Patients who have received a live, attenuated vaccine within 4 weeks prior to Cycle 1, Day 1 or anticipate that such a live attenuated vaccine be required during the study.",31.0,purpose study test whether addition nti7 atezolizumab provides clinically meaningful outcomes patients antipd1pdl1 naive relapsedrefractory highrisk melanoma merkel cell carcinoma mcc cutaneous squamous cell carcinoma cscc
NCT03853473,Prehabilitation of Frail Surgical Cancer Patients Using Remote Ischemic Preconditioning,"Colon Cancer, Fragility, Prehabilitation, Surgery",Remote Ischemic Preconditioning,INTERVENTIONAL,,"This project will examine the efficacy of a simple, cost-effective, non-invasive intervention, called remote ischemic preconditioning (RIPC), to reduce frailty in pre-surgical, frail, elderly patients with colon cancer. The investigators hypothesize that RIPC will reduce frailty in the pre-surgical period (as assessed by distance walked during the 6-minute walk test), improve functional capacity 4-weeks postoperatively, and reduce intraoperative blood pressure variability. If successful, future studies will examine the efficacy of RIPC to improve surgical outcomes in frail cancer patients.","Inclusion Criteria:

* Be between the ages of 55-85
* Have a positive diagnosis of colon cancer or suspected colon cancer based on pathology report
* Be scheduled for curative resection of non-metastatic colon cancer
* Have a 6-Minute Walk Test distance ≤80% of predicted value based on age and sex.

Exclusion Criteria:

* Condition which prevents walking
* Any condition in which compression of the arm or transient ischemia is contraindicated (e.g. wounds in the arm)
* Neurodegenerative disorder
* Unstable angina in previous month
* Myocardial infarction during previous month.",17.0,project examine efficacy simple costeffective noninvasive intervention called remote ischemic preconditioning ripc reduce frailty presurgical frail elderly patients colon cancer investigators hypothesize ripc reduce frailty presurgical period assessed distance walked 6minute walk test improve functional capacity 4weeks postoperatively reduce intraoperative blood pressure variability successful future studies examine efficacy ripc improve surgical outcomes frail cancer patients
NCT04903873,"A Study to Evaluate Safety, Efficacy, and Pharmacokinetics in Participants With Advanced Solid Tumors","Solid Tumor, Renal Cell Cancer Metastatic, Non-Small Cell Lung Cancer, Renal Cell Carcinoma, Prostate Cancer",EU101,INTERVENTIONAL,"PHASE1, PHASE2","Phase 1 (Dose Escalation) of this study will assess the safety, tolerability, dose-limiting toxicity (DLT), and will determine the maximum tolerated dose (MTD) and recommended Phase 2 dose (RP2D) of EU101 in participants with advanced solid tumors. Phase 2 (Dose Expansion) of the study will assess the antitumor effect of EU101 in two indications including colorectal cancer (CRC) and non-small cell lung cancer (NSCLC).","Key Inclusion Criteria:

* Histologically or cytologically confirmed diagnosis of metastatic or locally advanced solid tumors for which no standard therapy exists or standard therapy has failed because of disease progression or unacceptable toxicities. Also includes patients who cannot be treated with standard therapy because of underlying/existing medical condition.
* Cohort 1 (colorectal cancer): a) CRC (including microsatellite instability-high \[MSI-H\] and microsatellite-stable \[MSS\]) regardless of RAS mutation. b) Disease progression within 3 months after last administration of approved standard therapies. c) Prior cytotoxic chemotherapy for metastatic disease include all the following agents: fluoropyrimidine, oxaliplatin, and irinotecan
* Adjuvant chemotherapy-based treatments count as prior therapy, as long as relapse had occurred within 6 months of completion of such therapies, prior anti-epidermal growth factor receptor (EGFR) therapy (cetuximab, panitumumab), anti-angiogenic therapy (bevacizumab, aflibercept, ramucirumab), regorafenib, and TAS-102 are allowed. d) No more than 5 prior therapies for metastatic disease. For participants who had disease recurrence within 6 months of completing adjuvant chemotherapy, the adjuvant regimen can be considered as 1 chemotherapy regimen for metastatic disease
* Cohort 2 (NSCLC): a) NSCLC without known EGFR, anaplastic lymphoma kinase (ALK), and ROS1 genomic tumor aberrations. b) No standard therapy exists or standard therapy has failed. c) No more than 3 prior therapies for metastatic disease
* Phase 2: At least 1 measurable lesion per RECIST version 1.1
* Eastern Cooperative Oncology Group (ECOG) performance score of 0 to 2
* Adequate organ and bone marrow function (Hemoglobin \>9.0 g/dL, Absolute neutrophil count ≥1,500/μL, Absolute lymphocyte count ≥600 and ≤2,500/μL, Platelet count ≥100,000/μL, Total bilirubin ≤1.5 × upper limit of normal, Alanine aminotransferase and aspartate aminotransferase ≤2.5 × ULN, Serum creatinine ≤1.5 × ULN or creatinine clearance \>30 mL/min, Prothrombin time and activated partial thromboplastin time ≤1.5 × ULN)
* Life expectancy of at least 12 weeks
* Voluntarily provided a written consent to participate in the study
* Women of childbearing potential (WOCBP) must have a negative serum pregnancy test within the 7 days before study drug administration
* WOCBP and sexually active fertile male patients with partners who are WOCBP must agree to use 2 highly effective methods of contraception throughout the course of the study and for 12 weeks after the last dose of study drug.

Key Exclusion Criteria:

* Primary central nervous system (CNS) tumor (Phase 1), CNS metastasis, and/or carcinomatous meningitis. Participants with prior brain metastases treated at least 4 weeks before the first dose of EU101 that are clinically stable and do not require chronic corticosteroid treatment are allowed. Untreated but asymptomatic and clinically stable brain metastases per investigator's discretion are allowed
* Received prior therapy with any anti-CD137 monoclonal antibody (mAb) or agent
* Major surgery requiring general anesthesia within 3 weeks before first dose of EU101 or still recovering from prior surgery
* Active infection that is not controlled or requires intravenous antibiotics in the last 2 weeks
* History of allogeneic tissue or organ transplant
* Active hepatitis B virus or hepatitis C virus infection
* History of any noninfectious hepatitis
* Human immunodeficiency virus (HIV) infection
* Received or receiving systemic corticosteroid therapy or any other form of systemic immunosuppressive medicaion 1 week before first dose of EU101
* Known severe (≥Grade 3) hypersensitivity reactions to antibody, or severe reaction to immuno-oncology agents requiring treatment with steroids
* Konwn or suspected hypersensitivity to EU101 or any component of its formulation
* Current or history of interstitial lung disease, anaphylaxis, uncontrolled asthma, or pneumonitis that has required systemic corticosteroids
* Patients with second primary cancer
* Clinically significant concurrent cardiovascular disease
* Pregnant women, breasfeeding women, WOCBP, or men with partners who are WOCBP who do not agree to use adequate contraceptive measures
* Determined as unable to participate in the study per investigator's judgment

Other protocol defined Inclusion/Exclusion criteria may apply",110.0,phase 1 dose escalation study assess safety tolerability doselimiting toxicity dlt determine maximum tolerated dose mtd recommended phase 2 dose rp2d eu101 participants advanced solid tumors phase 2 dose expansion study assess antitumor effect eu101 two indications including colorectal cancer crc nonsmall cell lung cancer nsclc
NCT00877773,Phosphatidylinositol 3 Kinase and Mammalian Target of Rapamycin (PI3K-mTOR) in Advanced Cancer Patients,Advanced Cancers,Temsirolimus,INTERVENTIONAL,"PHASE1, PHASE2",The goal of this clinical research study is to learn if temsirolimus can help to control advanced cancer in patients who also have a PI3K mutation and/or PTEN loss. The safety of this drug will also be tested.,"Inclusion Criteria:

1. Patients with pathologically confirmed advanced or metastatic cancer that is refractory to standard therapy, relapsed after standard therapy, or has no standard therapy that improves survival by at least 3 months (unless temsirolimus is indicated as standard treatment for that disease).
2. Patients must have evaluable tumor(s) with documented PIK3 mutation and/or PTEN loss.
3. Patients must have creatinine \</= 3 X upper limit of normal (ULN); absolute neutrophil count \>/= 1,000/mL; platelets \>/= 50,000; bilirubin \</= 3.0 gm/dL. Except for patients with liver metastases: total bilirubin \</= 5 ULN.
4. Women of childbearing potential must have a negative baseline blood pregnancy test. Women and men must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) for the duration of study.
5. Patients must be off other anti-tumor agents for at least 5 half lives of the agent or 4 wks from the last day of treatment, whichever is shorter. For cytotoxic therapies, patients should be off treatment for 3 or more weeks.
6. Patients may not be receiving any other experimental agents that are not FDA approved.
7. Ability to understand and willingness to sign a written consent document.
8. Treatment on this study may begin within 24 hours after Phase 0 dose of Temsirolimus.

Exclusion Criteria:

1. Pregnant or lactating women.
2. Patients with creatinine clearance \<10 mL/min
3. Patients with a known hypersensitivity to any of the components or metabolites of the drug products.
4. Patients with major surgery within 30 days prior to entering study.
5. Patients on inhibitors or inducers of CYP3A4 metabolism will have the inhibitors or inducers stopped unless clinically contraindicated. See section 6 (Concomitant Medications) and Appendix E of the protocol for details.",44.0,goal clinical research study learn temsirolimus help control advanced cancer patients also pi3k mutation andor pten loss safety drug also tested
NCT01950273,Pharmacokinetics and Pharmacodynamics of BI 695500 vs. Rituximab as First Line-treatment in Patients With Low Tumor Burden Follicular Lymphoma,"Lymphoma, Follicular","BI 695500, MabThera",INTERVENTIONAL,PHASE1,"The primary objective of the study is to assess the pharmacokinetic (PK) similarity of Boehringer Ingelheim (BI) 695500 vs. rituximab (MabThera®) in previously untreated patients with low tumor burden follicular lymphoma (LTBFL).

The secondary objective of the study is to evaluate the pharmacodynamics (PD), safety, and anti-tumor activity of BI 695500 vs. rituximab (MabThera®), as well as the presence of anti-drug antibodies (ADAs).","Inclusion criteria:

* Must give written informed consent and be willing to follow this Clinical Trial Protocol.
* Male or female patients, at least 18 years of age at Screening.
* Histologically-confirmed, stage II - IV Non-Hodgkin's lymphoma (CD20+ FL of Grades 1, 2, or 3a).
* Low tumor burden according to the Groupe d'Etudes des Lymphomes Folliculaires (GELF) criteria - no nodal or extranodal involvement of more than 7 cm, no more than 3 nodal sites with a diameter \>3 cm, no B symptoms (i.e., fever \>38°C, weight loss - unexplained loss of \>10 % body weight over the past 6 months, and sweats - the presence of drenching night sweats), no significant splenomegaly, no significant serious effusion, no complications such as organ compression, and less than 5x10\^9/L circulating tumor cells.
* Availability of archived tumor sample prior to screening.
* Patients not previously treated for their FL.
* Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 1.
* Have at least 1 measurable lesion as per the International Working Group (IWG) criteria 2007 at Screening (lesion clearly measurable in at least 2 perpendicular dimensions; see Appendix 10.1 for further details).
* Adequate hematological function (unless abnormalities are related to lymphoma infiltration of the bone marrow) within 28 days prior to randomization, including:
* - hemoglobin =9.0 g/dL (=5.6 mmol/L).
* - absolute neutrophil count =1.5 × 10\^9/L.
* - platelet count =100 × 10\^9/L.
* Adequate renal and liver function:
* - serum creatinine \<2.0 mg/dL (\<176.8 micromol/L).
* - total bilirubin \<2.0 mg/dL (\<34 mcmol/L) except for patient with Gilbert's Syndrome or Hemolysis. Aspartate aminotransferase (AST) and alanine aminotransferase (ALT) \<3 x upper limit of normal (ULN) (\<5 x ULN is acceptable if abnormalities are thought to be related to hepatic infiltration by FL).
* For participants of reproductive potential (males and females), use of a medically acceptable method of contraception during the trial, i.e., a combination of 2 forms of effective contraception (defined as hormonal contraception, intrauterine device, condom with spermicide, etc.). Females of childbearing potential (includes tubal ligation) and males with female partners of childbearing potential must also agree to use an acceptable method of contraception (see above) for 12 months following completion or discontinuation from the trial medication.

Exclusion criteria:

* Transformation to high-grade lymphoma (secondary to low-grade lymphoma).
* Presence or history of central nervous system lymphoma.
* Patients receiving current treatment with corticosteroids must not be receiving a dose exceeding 20 mg/day prednisone or equivalent.
* Patients with prior or concomitant malignancies within 5 years prior to screening except non-melanoma skin cancer, adequately treated carcinoma in situ of the cervix, adequately treated breast cancer in situ, localized prostate cancer stage T1c - provided that the patient underwent curative treatment, and remains relapse free.
* Major surgery (excluding lymph node biopsy) within 28 days prior to randomization.
* Active, chronic or persistent infection that might worsen with immunosuppressive treatment (e.g., Human Immunodeficiency Virus \[HIV\], Hepatitis C Virus \[HCV\], Herpes Zoster); positive for HIV or tuberculosis at Screening.
* Patients with serological evidence of Hepatitis B virus (HBV) infection. Patients seropositive because of HBV vaccine are eligible. HBV positive patients may participate following consultation with a hepatitis expert regarding monitoring and use of HBV antiviral therapy, and provided they agree to receive treatment as indicated.
* Serious underlying medical conditions, which, per the investigator's discretion, could impair the ability of the patient to participate in the trial (including but not limited to ongoing active infection, severe immunosuppression, uncontrolled diabetes mellitus, gastric ulcers, active autoimmune disease); patients who have significant cardiac disease, including but not limited to congestive heart failure of Class III or IV of the NYHA classification; uncontrolled angina or arrhythmia; any uncontrolled or severe cardiovascular or cerebrovascular disease.
* Known hypersensitivity or allergy to murine products.
* History of a severe allergic reaction or anaphylactic reaction to a biological agent or history of hypersensitivity to any component of the trial drug.
* Receipt of a live/attenuated vaccine within 12 weeks prior to the Screening Visit.
* Prior treatment with BI 695500 and/or rituximab.
* Patients who received any prior therapy using monoclonal antibodies will be excluded; this does not apply to other biological drugs such as growth factors or anticoagulants.
* Treatment within a clinical trial within 4 weeks prior to initiation of trial treatment. Patients who have received treatment with a drug that has not received regulatory approval for any indication within 4 weeks or a minimum of 5 half-lives, whichever is longer, of the initial dose of trial medication.
* Any other co-existing medical or psychological condition(s) that will preclude participation in the trial or compromise ability to give informed consent and/or comply with study procedures.
* Pregnancy or breast feeding. For women of childbearing potential, a positive serum pregnancy test at the Screening Visit.
* Patients who have significant cardiac disease, including but not limited to congestive heart failure of Class III or IV of the New York Heart Association (NYHA) classification; uncontrolled angina or arrhythmia; any uncontrolled or severe cardiovascular or cerebrovascular disease; or uncontrolled hypertension.",95.0,primary objective study assess pharmacokinetic pk similarity boehringer ingelheim bi 695500 vs rituximab mabthera previously untreated patients low tumor burden follicular lymphoma ltbfl secondary objective study evaluate pharmacodynamics pd safety antitumor activity bi 695500 vs rituximab mabthera well presence antidrug antibodies adas
