Trial ID,Title,Condition,Intervention,Study Type,Phase,Summary,Eligibility,Enrollment
NCT00629473,Phase 1 Clinical Trial of NPI-0052 in Patients With Advanced Malignancies,Advanced Cancer,"NPI-0052 on Days 1, 8, 15 every 28 days, NPI-0052 on Days 1, 4, 8, 11 every 21 days, Dexamethasone",INTERVENTIONAL,PHASE1,"This is a Phase 1 clinical trial examining the safety, pharmacokinetics and pharmacodynamics of escalating doses of the proteasome inhibitor NPI-0052 in patients with advanced malignancies including solid tumors, lymphomas, leukemias and multiple myeloma. By inhibiting proteasomes NPI-0052 prevents the breakdown of proteins involved in signal transduction, which blocks growth and survival in cancer cells.","Inclusion Criteria:

* Karnofsky Performance Status (KPS) \> 70%.
* Histologically-confirmed advanced malignancy for which a standard, approved therapy is not available.
* Adequate renal, liver, pancreatic and hematologic function
* Signed informed consent (sample IC form is provided in Appendix A).

Exclusion Criteria

* Administration of chemotherapy, biological, immunotherapy or investigational agent (therapeutic or diagnostic) within 28 days
* Patients that require G-CSF and/or platelet support during screening and are likely to require G-CSF and/or platelet support for the duration of the clinical trial.
* Patients with ongoing coagulopathies and/or taking anticoagulants
* Patients receiving intrathecal therapy.
* Known brain metastases.
* Pre-existing adrenal insufficiency; concomitant therapy with replacement corticosteroids. Pre-existing acute or chronic pancreatitis.
* Significant cardiac disease.
* Pregnant or breast-feeding women.
* Concurrent, active secondary malignancy for which the patient is receiving therapy. (Lymphoma patients with a diagnosis of a potentially hormone-sensitive tumor who are without evidence of disease for this second malignancy may continue to receive hormonal therapy).
* Patients with proteinuria Grade 2 or greater
* Active uncontrolled bacterial or fungal infection requiring systemic therapy; infection requiring parenteral antibiotics.
* Patients who are known to be HIV positive or have active Hepatitis A, B, or C infection.",86
NCT04909073,Observational Study of Afatinib 30 mg Daily,"Non-Small Cell Lung Cancer, Epidermal Growth Factor Receptor Mutation",Afatinib,OBSERVATIONAL,N/A,"Afatinib, a first-in-class irreversible ErbB family blocker, is a 1st line treatment option for patients with advanced stage NSCLC harbouring sensitizing EGFR mutations. In randomized 1st line studies of afatinib at a standard dose of 40 mg daily versus standard of care, 28-53% of patients required a dose reduction due to adverse events (AE) induced by afatinib. The most common AEs are cutaneous and gastrointestinal (diarrhoea, dysphagia, and mucositis). Prevalence of diarrhoea in patients receiving 40 mg of afatinib, in 1st line phase II and III studies is as high as 90.0% (all grades of diarrhoea) and 14.4% (grade 3-4 diarrhoea). Another important gastrointestinal AE is mucositis, which presents in 51.9%-64.4% of patients treated with afatinib, with only 4.4%-8.3% of the cases being grade 3-4. Dose reduction tended to occur in patients who had higher initial afatinib plasma concentrations and led to decreases in the incidence and severity of afatinib-related AEs without affecting therapeutic efficacy. The incidence of gastrointestinal AEs could be decreased \>50% with proper afatinib dose reduction.

The effect of 1st line afatinib 30 mg daily in patients with EGFR mutation-positive NSCLC is unknown. We hypothesize that, in patients with EGFR mutation-positive NSCLC, 1st line afatinib treatment at 30 mg daily is tolerable with less gastrointestinal AEs and with a similar efficacy to standard dose afatinib.","Inclusion Criteria:

1. Age ≥18 years.
2. ECOG performance status 0-1.
3. Pathologically confirmed diagnosis of Stage IIIB/IV adenocarcinoma of the lung.
4. Have been commenced on first line afatinib 30 mg within 4 weeks of study enrolment.
5. Documented EGFR mutation(s)-positive NSCLC (common mutations: Del19 and L858R) from tumour biopsy material. Results of EGFR mutation test must be available before taking Afatinib.
6. A CT thorax/ abdomen within 4 weeks of study enrolment with at least one measurable lesion according to the Response Evaluation Criteria in Solid Tumours (RECIST) version 1.1.
7. No brain metastases (confirmed by a CT or MRI brain performed within 4 weeks of study enrolment)
8. Documented adequate organ function before taking Afatinib:

   * Absolute neutrophil count (ANC) ≥1500/mm3. (ANC \>1000/mm3 may be considered in special circumstances such as benign cyclical neutropenia as judged by the Investigator and in discussion with the sponsor-Investigator).
   * Platelet count ≥75,000/mm3.
   * Estimated creatinine clearance using Cockcroft Gault calculation of at least 45 ml/min.
   * Total Bilirubin ≤1.5 times upper limit of (institutional/central) normal (Patients with Gilbert's syndrome total bilirubin must be ≤4 times institutional upper limit of normal).
   * Aspartate amino transferase (AST) or alanine amino transferase (ALT) ≤3 times the upper limit of (institutional/central) normal (ULN) (if related to liver metastases ≤5 times ULN).
9. Archived tissue sample is available.
10. Written informed consent per regulations.

Exclusion Criteria:

1. Prior chemotherapy for Stage IIIB/IV adenocarcinoma of the lung. Neo-/adjuvant chemotherapy, CT-RT or RT is permitted if it has been elapsed for =12 months prior to disease progression.
2. Prior treatment with EGFR targeting small molecules or antibodies.
3. Major surgery within 4 weeks of study treatment.
4. Brain metastases.
5. Meningeal carcinomatosis.
6. Known pre-existing interstitial lung disease (ILD).
7. Patients with a significant disease other than lung cancer; a significant disease is defined as a disease which, in the opinion of the investigator, may:

   * put the patient at risk because of participation in the study
   * influence the results of the study
   * cause concern regarding the patient's ability to participate in the study.",69
NCT02262273,OSCA - Olaparib Standard of CAre Study,Platinum-sensitive Recurrent Serous Ovarian Cancer,Data Collection,OBSERVATIONAL,N/A,"This study will be carried out as a retrospective, non-interventional observational review of medical records for patients in multiple countries with platinum-sensitive recurrent serous ovarian cancer. The objectives are to describe in a real-world population, treatment patterns, BRCA mutation testing and results, overall survival, health care utilization and also to estimate rates of selected treatment- and/or disease-related side effects","Inclusion Criteria:

1. First determined to have platinum-sensitive recurrent serous ovarian cancer between January 1, 2009, and December 31, 2013 (study entry period), as defined by no evidence of disease progression for at least 6 months after completion of a first-line platinum-based chemotherapy regimen; the first date of platinum-sensitive recurrence between January 1, 2009 and December 31, 2013 will define the study index date.
2. At least 18 years of age on the index date.
3. Fully documented medical history related to the patient's ovarian cancer treatment beginning with initial diagnosis of serous ovarian cancer.
4. Patients can be either alive or deceased at the time of medical record abstraction.

Exclusion Criteria:

1. Ever taken an investigational product as part of an interventional clinical trial for ovarian cancer.",2123
NCT05656573,CART-PSMA Cells for Advanced Prostate Cancer,Prostate Cancer,CART-PSMA cells,INTERVENTIONAL,PHASE1,"This is a single center, open-label phase 1 study to assess the safety and feasibility of PSMA-specific CAR modified autologous T cells (CART-PSMA cells) in patients with advanced prostate cancer.","Inclusion Criteria:

1. All participants must have the ability to understand and the willingness to sign a written informed consent.
2. Histologic confirmation of prostate cancer.
3. Tumor expressing PSMA as demonstrated by immunohistochemistry analysis or other methods.
4. Eastern Cooperative Oncology Group (ECOG) performance status 0 - 2.
5. Under general air conditions, blood oxygen saturation \>90%.
6. Adequate liver function, specifically alanine aminotransferase (ALT) \< 3 times of upper limit of normal (ULN), aspartate transferase (AST)\< 3 times of ULN, serum bilirubin and alkaline phosphatase \< 2 times of ULN.
7. Adequate renal function, specifically serum creatinine \< 2.0 mg/dl.
8. Adequate cardiac function, specifically left ventricular ejection fraction (LVEF)≥50%.
9. Hemoglobin concentration ≥80g/L.
10. The side effects brought by the latest treatment should be recovered, and the latest chemotherapy should be at least 7 days before; At least three t½ have passed since the latest immunotherapy.

Exclusion Criteria:

1. Patients with other malignant tumors or major diseases.
2. Patients who are already undergoing other clinical drug trials or other gene therapy or cell therapy.
3. Patients with uncontrolled active infection.
4. Patients with active hepatitis B or hepatitis C infection.
5. Patients with human immunodeficiency virus (HIV) infection.
6. Patients who are being treated with immunosuppressive agents or systemic steroids (other than inhalation therapy).
7. Patients with various types of serious heart disease or a history of severe cerebrovascular disease.
8. Patients with congenital immune deficiency diseases or bone marrow deficiency diseases.
9. Patients with active autoimmune disease, including connective tissue disease, uveitis, inflammatory bowel disease, or multiple sclerosis; or a history of severe (as judged by the physician-investigator) autoimmune disease requiring prolonged immunosuppressive therapy.
10. Patients with active medical condition that, in the opinion of the physician-investigator, would substantially increase the risk of uncontrollable CRS (cytokine release syndrome) or CAR Neurotoxicity.",20
NCT02754973,Integrated Experiential Training Program With Coaching by Nursing Students in Childhood Cancer Patients,"Child, Neoplasms","an integrated experiential training program with coaching, Placebo Control",INTERVENTIONAL,NA,"Background: Despite the evidence that regular physical activity can have beneficial effects on the physical and psychological well-being of cancer patients, a review of the literature reveals that a majority of young cancer patients fail to attain the same levels of physical activity that they had before contracting the disease. There is scientific evidence that physical inactivity induces muscle catabolism and atrophy and cardiovascular diseases, which may lead to a further increase in fatigue and a decrease in the functional capacity of cancer patients. Empirical evidence is needed to explore an appropriate strategy for promoting physical activity in such patients.

Purposes: To examine the effectiveness of an integrated experiential training program with coaching by nursing students in promoting regular physical activity, reducing fatigue and enhancing quality of life among Hong Kong Chinese childhood cancer patients.

Design and Subjects: A randomised controlled trial (RCT), two-group pre-test and repeated post-test, within and between subjects design will be conducted. Recruitment of subjects will be carried out in a paediatric oncology ward of a Hong Kong acute care hospital.

Intervention: Participants in the experimental group will join an integrated experiential training program with coaching by nursing students, which contains 28 home visits by a designated nursing student as a coach for a 6-month period. Those in the placebo control group will receive an amount of time and attention (home visits by research assistants) that mimics that received by the experimental group.","Inclusion Criteria:

* aged between 9 to 18
* diagnosed with cancer at some time in the previous month and currently undergoing active treatments
* able to speak Cantonese and read Chinese

Exclusion Criteria:

* evidence of recurrence or second malignancies
* physical impairment or cognitive or learning problems identified from their medical records",70
NCT00165373,rhEndostatin Protein Involving Pediatric Patients With Cancer,Solid Tumors,rhEndostatin,INTERVENTIONAL,PHASE1,"The purpose of this study is to assess the safety of rhEndostatin, to determine how much of the drug stays in the patients blood (pharmacokinetics), to assess the development of proteins in the blood that are produced by the body (antibodies)using rhEndostatin, to determine the effect of rhEndostatin on the formation of new blood vessel factors, and to perform an analysis of the effect of rhEndostatin on circulating endothelial precursor cells (cells in the body that help the tumor build more blood vessels).","Inclusion Criteria:

* Must have had a histological verification of solid tumor at the original diagnosis. For patients with brain stem gliomas and optic pathway tumors, the requirement for histological evaluation may be waived. The patient's disease must be considered refractory to conventional/standard therapy, or a disease for which no conventional therapy exists and is progressive. Patients must have measurable disease for this study.
* Agree to having a central venous access placed
* Be between 2 and 18, inclusive, years of age
* Aspartate aminotransferase and alanine aminotransferase less than 2.5 x ULN-
* Total bilirubin less than 2.0 x ULN
* Serum creatinine less than 2.0 mg/dL or a creatinine clearance or glomerular filtration rate less than 2 times normal for age
* Absolute neutrophil count greater than or equal to 1,000/mm3
* Platelets greater than or equal to 100,000/mm3 (transfusion independent)
* Hemoglobin greater than 8.0 g/dL
* Have an estimated life expectancy of at least 3 months
* Have a Karnofsky performance status greater than 50 for patients aged 10 years or older and a Lansky performance status greater than 50 for patients aged 2 to less than 10 years
* Patients are required to have had an EKG, echocardiogram, and pulse oximetry within age-appropriate levels prior to starting therapy.
* If a woman or man of child producing potential, agree to use effective contraceptive methods (A negative pregnancy test within 72 hours before the administration of rhEndostatin protein will be required for women of childbearing potential.)

Exclusion Criteria:

* Patients with leukemia
* Be pregnant or nursing
* Have a history of bleeding diathesis, hypercoagulable condition, or an active bleeding disorder
* Have any condition that is likely to interfere with regular follow-up
* Have participated in any clinical trial involving conventional or investigational drugs or devices within 4 weeks prior to rhEndostatin protein administration
* Have received radiotherapy or chemotherapy within 4 weeks prior to rhEndostatin protein administration
* Have received nitrosourea or mitomycin C less than 6 weeks prior to initiation of therapy
* Be receiving concurrent treatment with therapeutic doses of heparin or enoxaparin sodium (Lovenox®) (rhEndostatin protein has a heparin binding domain.)
* Have had major surgery within 2 weeks of starting rhEndostatin protein administration This does not include placement of a vascular access device.
* Have a history of bone marrow transplantation or extensive radiotherapy (craniospinal, total body, or radiotherapy to more than half of the pelvis) within the previous 4 months
* Have ionized calcium levels below the lower limits of normal
* Have a history of myocardial infarction within the last 6 months, angina pectoris/angina equivalent in the last 6 months (the patient may be on antianginal medications if the symptoms can be entirely controlled), or have uncontrolled congestive heart failure
* Have an active infection
* Have additional uncontrolled serious medical or psychiatric illness",21
NCT06297473,Physical Attendance Versus Telephone or Video Follow-up in Patients With Non-functioning Pituitary Tumors.,Non-Functional Pituitary Adenoma,"Telephone-/video follow-up, In-person follow-up",INTERVENTIONAL,NA,"The primary purpose of this study is to compare the safety of routine telephone assessment versus in-person assessment during a two-year period for patients with non-functioning pituitary adenomas. Secondly, to compare the quality of pituitary care in persons having biochemical assessment once versus twice a year. Thirdly, to assess the rationale of repeated assessment of pituitary function and imaging in patients with small pituitary tumors (microadenomas).","Inclusion Criteria:

* Non-functioning pituitary tumor
* Diagnosed \> 6 months from enrollment, i.e. found on MRI.

Exclusion Criteria:

* Planned pituitary surgery
* Planned radiotherapy
* Poor Danish skills
* Patient is considered by the treating physician unsuitable for follow-up by telephone or video",812
NCT01248273,"Unimolecular Pentavalent (Globo-H-GM2-sTn-TF-Tn) Immunization of Patients With Epithelial Ovarian, Fallopian Tube, or Peritoneal Cancer in First Remission","Fallopian Tubes, Ovarian Cancer, Peritoneal Cancer","Globo-H-GM2-sTn-TF-Tn-KLH conjugate, plus the immunological adjuvant QS-21",INTERVENTIONAL,PHASE1,"The purpose of this study is to 1) test the safety of the vaccine to find out what effects, good and/or bad, it has, and 2) to find out if the vaccine stimulates the immune system. The vaccine in this study will contain several parts. The first part is called an antigen. These antigens or ""fingerprints"" are found on many cancer cells, especially from the ovaries, fallopian tubes, or peritoneal cavity (inside lining of the abdomen) The purpose of this study is to see if investigators can help the immune system to recognize that cancer cells are not normal and should be removed.","Inclusion Criteria:

* Any histologically documented stage III or IV epithelial carcinoma arising in the ovary, fallopian tube or peritoneum.
* History of cytoreductive surgery and chemotherapy with at least one platinum-based chemotherapy regimen as part of primary treatment.
* Patients must be in a first complete clinical remission. Complete clinical remission is defined as serum CA-125 within institutional normal limits, negative physical examination, and no definite evidence of disease by computed tomography (CT) of the abdomen and pelvis. Lymph nodes and/or soft tissue abnormalities ≤ 1.0cm are often present in the pelvis and will not be considered definite evidence of disease. Eligibility is determined by anatomical imaging only (ie. MRI or CT). Positive PET image (if performed) will not exclude a patient if other criteria are met and anatomical imaging is negative.
* Adequate organ function defined by
* Bone marrow function: Absolute neutrophil count (ANC) greater than or equal to 1,000/mm³, grade 1. Platelets greater than or equal to 100,000/mm³.
* Renal function: Serum creatinine less than or equal to 1.5 x institutional upper limit normal (ULN), CTCAE v4.0 grade 1.
* Hepatic function: Bilirubin, SGOT, and alkaline phosphatase less than or equal to 2.5 x ULN
* Negative stool hemoccult (or negative endoscopic evaluation if positive). External hemorrhoids are a common source of a positive hemoccult and should not exclude patients.
* TSH not elevated above normal range
* KPS \> or = to 80%.
* Patients have signed the informed consent document and signed the authorization permitting release of personal health information.
* Age \> 18 years
* Patients must have recovered from clinically significant side effects from prior chemotherapy

Exclusion Criteria:

* Pregnant or nursing women
* Patients with other invasive malignancies who had (or have) any evidence of the other cancer present within the last 5 years, or whose previous cancer treatment contraindicated this protocol therapy are excluded. Non-melanoma skin cancers are an exception and will not exclude any patient.
* Patients with a history of a seafood allergy.
* Patients who have previously received a vaccine with any of the antigens in the current trial.
* Patients with a history of immunodeficiency or autoimmune disease (excluding treated hypothyroidism).
* Patients with active CNS tumor.",26
NCT05856773,Conventionally Fractionated vs. Hypofractionated Comprehensive Nodal Irradiation for Breast Cancer Using Pencil Beam Scanning Proton Therapy,Breast Cancer,Proton Therapy,INTERVENTIONAL,PHASE3,"The purpose of this research study is to learn more about the effects of using proton radiation therapy delivered over a shorter course of treatment (3 weeks) compared with a longer, standard course of treatment (5 weeks) for women with breast cancer who require radiotherapy to the breast/chest wall and regional lymph nodes.","Inclusion Criteria:

* Patients with Stage I-III breast cancer who have undergone breast conserving surgery or mastectomy and have been recommended to receive postoperative radiation therapy to the breast or chest wall and regional draining lymph nodes (axilla levels I-III, SCV, IMN)
* Histologically documented breast cancer (invasive mammary, ductal, medullary, tubular, mucinous, lobular, or ductal carcinoma in situ) for which treatment with radiation therapy to the breast/chest wall and comprehensive regional lymph nodes including the internal mammary chain is recommended
* Documentation of negative metastatic workup by whole body Positron Emission Tomography - Computed Tomography (PET/CT) or by combined CT of the chest, abdomen, pelvis and Bone scan
* History and physical exam within 90 days prior to study registration
* Eastern Cooperative Oncology Group (ECOG) performance status 0, 1, or 2
* Negative pregnancy test for women of child-bearing potential
* Able to begin radiation treatment within 12 weeks of last surgery or last day of chemotherapy
* Presence of breast implants, breast expanders, tissue flap, or other breast reconstruction are allowed
* Bilateral breast cancer is allowed if at least one side will be treated with comprehensive nodal irradiation per protocol treatment and will be recorded as the laterality receiving comprehensive nodal irradiation. If both sides will be treated comprehensively, it will be documented as such

Exclusion Criteria:

* Presence of skin ulceration and / or ipsilateral satellite nodules and/or edema (including peau d'orange) (T4b or T4c disease) or diagnosis of inflammatory breast cancer (T4d disease)
* Residual gross disease detected by imaging or clinical exam with the exception of \<2cm internal mammary lymph node or supraclavicular lymph node amenable to sequential boost
* Prior history of radiation therapy overlapping with current target volume (including intraoperative brachytherapy, interstitial catheter brachytherapy, balloon brachytherapy, external beam radiation therapy)
* Prior history of explant surgery or implant removal due to infection or wound healing issues without subsequent implant or flap reconstruction
* Presence of double/dual port tissue expander
* Clinical or radiographic evidence of distant metastatic disease
* Pregnant or breast-feeding females
* Non-malignant systemic disease that would preclude the patient from receiving study treatment or would prevent required follow-up
* History of connective tissue disorder (i.e., systemic lupus erythematosus, scleroderma), dermatomyositis, xeroderma pigmentosum
* Known BRCA 1 or BRCA 2 mutation
* Presence of an active skin rash
* Prior invasive non-study malignancy unless disease free for ≥ 3 years. Non-melanoma skin cancer, well-differentiated thyroid cancers, in situ carcinomas of the oral cavity, cervix, and other organs, and tumors that are not thought to impact the life expectancy of the patient are permissible.",276
NCT04246073,"Prospective Evaluation of Efficacy and Safety of Fondaparinux in Surgical Cancer Patients, Risk Factors for Thromboembolism","Cancer, Cancer Diagnosis, Thromboembolism",N/A,OBSERVATIONAL,N/A,"Non interventional multi-centric study that will aim in evaluating the efficacy and safety of Fondaparinux in surgical cancer patients, identifying in parallel the most relevant and critical risk factors for Thromboembolism.","Inclusion Criteria:

Upcoming surgery for newly diagnosed or potential cancer or relapse / metastasis of cancer that has been treated and diagnosed ≥ 1 year

Exclusion Criteria:

* Recent (\<6 months) episode of venous thromboembolic disease (Deep vein thrombosis and / or pulmonary embolism and / or thrombosis in a rare location such as visceral or cerebral venous thrombosis)
* Pregnancy or pregnancy
* Patients on long-term anticoagulation for any reason (MKH, HMB or ABK, DOACs) at prophylactic or therapeutic dose, prior to enrollment in the study.
* Active haemorrhage, diagnosed hemorrhagic disorder, thrombocytopenia
* Ulcers or vasodilatations of the gastrointestinal tract
* Hemorrhagic stroke or surgery in the brain, spine or eye of the last trimester
* Bacterial endocarditis or other contraindication to the use of anticoagulant treatment
* Creatinine clearance \<20mL / min
* Thrombolytic treatment or administration of dextran in the 2 days preceding administration of fondaparinux",400
