Top 10 Bigrams:
Bigram,Frequency
breast cancer,973
tumor cells,780
cancer patients,581
lung cancer,536
purpose study,535
phase ii,470
prostate cancer,458
quality life,387
study evaluate,385
treating patients,384

Top 10 Trigrams:
Trigram,Frequency
cell lung cancer,264
phase ii trial,259
nonsmall cell lung,231
growth tumor cells,224
different ways stop,215
stop growth tumor,214
drugs used chemotherapy,201
kill tumor cells,193
study evaluate safety,136
breast cancer patients,134
